carrier,from_airport,to_airport,,long,lat,wac
AA,Reina Beatrix Intl,TNCA,,-70.015221,12.501389,60
AC,V C Bird Intl,TAPA,,-61.792667,17.136749,62
AE,Al Saqr,OM01,,55.96038,25.755349,15
AE,Arzanah,OMAR,,52.559944,24.780528,15
AE,Al Hamra Aux,OMAH,,52.463644,24.073981,50
AE,Minhad Ab,OMDM,,55.366244,25.026819,165
AE,Sharjah Intl,OMSJ,,55.51715,25.328575,111
AE,Abu Dhabi Intl,OMAA,,54.651138,24.432972,88
AE,Al Dhafra,OMAM,,54.547722,24.248249,77
AE,Zirku,OMAZ,,53.077833,24.861542,14
AE,Dubai Intl,OMDB,,55.364444,25.252778,62
AE,Yas Island,OM10,,52.580353,24.283994,25
AE,Fujairah Intl,OMFJ,,56.323964,25.112225,152
AE,Ras Al Khaimah Intl,OMRK,,55.938817,25.613483,102
AE,Das Island,OMAS,,52.873711,25.146219,12
AE,Bateen,OMAD,,54.458084,24.428333,16
AE,Al Ain Intl,OMAL,,55.609167,24.261667,869
AE,Abu Dhabi Northeast,OM11,,54.980064,24.518856,88
AE,Jebel Dhana,OMAJ,,52.614,24.187428,43
AF,Herat,OAHR,,62.2283,34.210017,3206
AF,Mazar I Sharif,OAMS,,67.209678,36.706914,1284
AF,Bagram,OAIX,,69.264972,34.946139,4895
AF,Kandahar,OAKN,,65.847822,31.505756,3337
AF,Shindand,OASD,,62.260975,33.391331,3773
AF,Jalalabad,OAJL,,70.498625,34.399842,1814
AF,Konduz,OAUZ,,68.910833,36.665111,1457
AF,Kabul Intl,OAKB,,69.212328,34.565853,5877
AF,Sheberghan,OASG,,65.913164,36.750783,1053
AF,Maimana,OAMN,,64.760917,35.930789,2743
AG,Batna,DABT,,6.308589,35.752106,2697
AG,Illizi,DA10,,8.483656,26.573567,1778
AG,Soummam,DAAE,,5.069922,36.711997,20
AG,Annaba,DABB,,7.809167,36.822225,16
AG,Zenata,DAON,,-1.45,35.016667,814
AG,Tiska,DAAJ,,9.452444,24.292767,3176
AG,Bechar,DAOR,,-2.269861,31.645744,2661
AG,Boufarik,DAAK,,2.876111,36.545834,335
AG,Hamaguir,DA11,,-3.067747,30.879003,2454
AG,Tamanrasset,DAAT,,5.451075,22.811461,4518
AG,Illizi Takhamalt,DAAP,,8.622653,26.723536,1778
AG,Bou Sfer,DAOE,,-0.805389,35.735389,187
AG,El Abiodh Sidi Cheikh,DA12,,0.524694,32.898529,2965
AG,Laghouat,DAUL,,2.928344,33.764383,2510
AG,Ouargla,DAUU,,5.412778,31.917223,492
AG,Hassi R Mel,DAFH,,3.311542,32.930431,2540
AG,Tafaraoui,DAOL,,-0.532278,35.542444,367
AG,Ech Cheliff,DAOI,,1.331775,36.212658,463
AG,Bou Chekif,DAOB,,1.463147,35.341136,3245
AG,Touat Cheikh Sidi Mohamed Belkebir,DAUA,,-0.186414,27.837589,919
AG,Tinfouchy,DA13,,-5.8229,28.879322,1804
AG,Relizane,DAAZ,,0.626272,35.752239,282
AG,Timimoun,DAUT,,0.276033,29.237119,1027
AG,Tindouf,DAOF,,-8.167103,27.700372,1453
AG,Biskra,DAUB,,5.738231,34.793289,289
AG,In Amenas,DAUZ,,9.642911,28.05155,1847
AG,Houari Boumediene,DAAG,,3.215408,36.691014,82
AG,Mohamed Boudiaf Intl,DABC,,6.620386,36.276028,2265
AG,Sidi Bel Abbes,DAOS,,-0.593275,35.171775,1614
AG,Reggane,DAAN,,0.285647,26.710103,955
AG,Ghriss,DAOV,,0.147142,35.207725,1686
AG,Sidi Mahdi,DAUK,,6.088672,33.067803,279
AG,Cheikh Larbi Tebessi,DABS,,8.120717,35.431611,2661
AG,Ain Oussera,DAAQ,,2.878714,35.525414,2132
AG,Oued Irara,DAUH,,6.140444,31.672972,463
AG,Guemar,DAUO,,6.776794,33.511397,203
AG,Es Senia,DAOO,,-0.621183,35.623858,295
AG,Blida,DAAB,,2.814167,36.503613,535
AG,Noumerat,DAUG,,3.794114,32.384106,1512
AG,Bou Saada,DAAD,,4.206389,35.3325,1506
AG,Jijel,DAAV,,5.873608,36.795136,36
AG,In Salah,DAUI,,2.512017,27.251022,896
AG,Saida,DA15,,0.151694,34.897194,2444
AG,Tindouf East,DA16,,-7.500114,27.585922,1425
AG,El Golea,DAUE,,2.859586,30.571294,1306
AG,Mecheria,DAAY,,-0.242353,33.535853,3855
AJ,Ganja,UBBG,,46.317581,40.737678,1083
AJ,Lenkoran,UB10,,48.818039,38.746442,30
AJ,Dollyar,UG11,,45.957014,40.887622,1099
AJ,Nasosnaya,UB12,,49.557439,40.591581,-13
AJ,Stepanakert,UB13,,46.787031,39.901439,2001
AJ,Kyurdamir,UB14,B15,48.163567,40.273589,-35
AJ,Nakhchivan,UBBN,,45.458442,39.188806,2863
AJ,Belokany,UB16,,46.355289,41.753394,935
AJ,Baku Kala,UB18,,50.200197,40.406553,40
AJ,Heydar Aliyev,UBBB,,50.046667,40.4675,10
AL,Tirana Rinas,LATI,,19.720561,41.414742,126
AL,Kucova,LAKV,,19.90189,40.771889,135
AL,Gjader,LAGJ,,19.598678,41.895222,23
AL,Korce Northwest,LAKO,,20.741486,40.645656,665
AL,Gjirokaster,LA10,,20.153056,40.087333,666
AM,Kalinino,UD19,D20,44.344722,41.049733,4846
AM,Erebuni,UDYE,,44.464992,40.122114,2948
AM,Stepanavan,UDLS,,44.337172,41.04845,4836
AM,Yerevan Yegvard,UD21,,44.564558,40.294083,4416
AM,Zvartnots,UDYZ,,44.395881,40.147275,2838
AM,Gyumri,UDSG,,43.859342,40.750369,5000
AO,Mbanza Congo,FNBC,,14.247025,-6.269897,1860
AO,Soyo,FNSO,,12.371764,-6.141086,15
AO,Menongue,FNME,,17.719833,-14.657583,4469
AO,Luena,FNUE,,19.897672,-11.768086,4360
AO,Uige,FNUG,,15.027822,-7.603067,2720
AO,Porto Amboim,FNPA,,13.765528,-10.721956,16
